datetime_col,ERCOT.LOAD_wind,ERCOT.WIND.GEN,Wind 1-hr MW change,Wind 1-hr % change,ERCOT.LOAD_solar,ERCOT.PVGR.GEN,Solar 1-hr MW change,Solar 1-hr % change
2022-12-11 14:00:00,42498.13427951389,2691.198811984592,440.7948333062063,19.587364645750217,42498.13427951389,4139.479315863715,179.5,4.532849330343571
2022-12-11 15:00:00,42420.54228298611,3360.032717285156,668.8339053005643,24.852638248875447,42420.54228298611,4241.562521972656,102.1,2.466493783619656
2022-12-11 16:00:00,42409.806451822915,4274.0419023301865,914.0091850450303,27.202389439336557,42409.806451822915,3929.2166533067493,-312.3,-7.362852684174421
2022-12-11 17:00:00,42779.95237413194,4934.643063693577,660.60116136339,15.45612271613981,42779.95237413194,2247.422024400499,-1681.8,-42.80242471701404
2022-12-11 18:00:00,43787.393583984376,5016.101710747613,81.45864705403619,1.6507505406695913,43787.393583984376,277.276023434889,-1970.1,-87.66043843169709
2022-12-11 19:00:00,44683.61388237847,5471.658981119792,455.5572703721791,9.081898586627377,44683.61388237847,0.3360148549328248,-276.9,-99.86438660284043
2022-12-11 20:00:00,44361.89659505209,6341.309311387804,869.6503302680121,15.893723151767682,44361.89659505209,0.3399753027740452,0.0,0.0
2022-12-11 21:00:00,43856.664769965275,7686.072310248481,1344.7629988606768,21.206393393328636,43856.664769965275,0.3385972805321217,0.0,0.0
2022-12-11 22:00:00,42850.5518218316,9028.528572591145,1342.4562623426646,17.466089416731815,42850.5518218316,0.33484534669253563,0.0,0.0
2022-12-11 23:00:00,40841.23827907986,9862.91421875,834.3856461588548,9.24165703691615,40841.23827907986,0.34480353987879225,0.0,0.0
2022-12-12 00:00:00,38454.39011176215,11320.676162923177,1457.7619441731767,14.780235454161028,38454.39011176215,0.3592183337112268,0.0,0.0
2022-12-12 01:00:00,36597.30061197917,12325.465308702256,1004.7891457790793,8.875699042340832,36597.30061197917,0.34744436947007973,0.0,0.0
2022-12-12 02:00:00,35370.78277018229,12662.665868055556,337.20055935329947,2.735803889815201,35370.78277018229,0.32264350296722516,0.0,0.0
2022-12-12 03:00:00,34788.31714192708,12945.531126302083,282.86525824652745,2.2338523435268014,34788.31714192708,0.3287032875418663,0.0,0.0
2022-12-12 04:00:00,34717.23612955729,13163.302626953126,217.77150065104252,1.6822137193628561,34717.23612955729,0.33124753310448596,0.0,0.0
2022-12-12 05:00:00,35495.26218532986,13830.28378580729,666.9811588541652,5.066974282642847,35495.26218532986,0.3476558765106731,0.0,0.0
2022-12-12 06:00:00,37460.69694661458,14878.558836805556,1048.2750509982652,7.579562843634564,37460.69694661458,0.35330906252066296,0.0,0.0
2022-12-12 07:00:00,40615.027762586804,15899.10640516493,1020.547568359374,6.859182932656177,40615.027762586804,0.36225828333033455,0.0,0.0
2022-12-12 08:00:00,42281.35992404514,16636.376619466148,737.2702143012175,4.637180200653983,42281.35992404514,33.3695475805468,33.0,9109.522547454932
2022-12-12 09:00:00,42948.953537326386,16725.872486979166,89.49586751301831,0.5379528821696644,42948.953537326386,876.2572460428873,842.9,2525.9557324396546
2022-12-12 10:00:00,44030.31757595486,17078.38728298611,352.5147960069444,2.1076018382979527,44030.31757595486,2331.9415785047745,1455.7,166.1270142499629
2022-12-12 11:00:00,44315.464273003476,18161.68744249132,1083.3001595052083,6.343105713409002,44315.464273003476,2797.2313045247397,465.3,19.953330061482387
2022-12-12 12:00:00,44908.279069010416,19739.95903266059,1578.2715901692718,8.690115360518359,44908.279069010416,2608.2472835964627,-189.0,-6.756681140178782
2022-12-12 13:00:00,44890.03058810764,20362.97419813368,623.0151654730907,3.1561117449245257,44890.03058810764,2038.8190070936414,-569.4,-21.830752152260086
2022-12-12 14:00:00,44933.488364800345,20428.8589594184,65.8847612847203,0.32355175940240993,44933.488364800345,1733.7684180704753,-305.1,-14.964545599117374
2022-12-12 15:00:00,44772.56230034722,21306.639299587674,877.7803401692727,4.296766363275449,44772.56230034722,1488.5800320773656,-245.2,-14.142603905133132
2022-12-12 16:00:00,44829.05367838542,22034.540489366318,727.901189778644,3.4163115991395716,44829.05367838542,1143.1642335679796,-345.4,-23.20332078605019
2022-12-12 17:00:00,45368.48222547743,22336.050942925347,301.510453559029,1.3683537158604935,45368.48222547743,639.9116887071398,-503.3,-44.02691977417177
2022-12-12 18:00:00,46592.89177842882,22568.534101019966,232.48315809461928,1.0408427106863098,46592.89177842882,144.01008917189307,-495.9,-77.49506826510746
2022-12-12 19:00:00,47438.5056922743,23268.897275390624,700.3631743706574,3.1032727745441164,47438.5056922743,0.32718475156360205,-143.7,-99.78467538373444
2022-12-12 20:00:00,46749.641597222224,24146.16913031684,877.2718549262172,3.77014795563186,46749.641597222224,0.31895399034023286,0.0,0.0
2022-12-12 21:00:00,46202.06066514757,24429.628500976563,283.4593706597225,1.1739310245442771,46202.06066514757,0.31543500853909384,0.0,0.0
2022-12-12 22:00:00,44949.01986328125,24428.957771809895,-0.6707291666680248,-0.0027455561456499952,44949.01986328125,0.3210037067201402,0.0,0.0
2022-12-12 23:00:00,42709.799848090275,24085.302620985243,-343.6551508246521,-1.4067532230999118,42709.799848090275,0.3164671352505684,0.0,0.0
2022-12-13 00:00:00,40379.41485351563,23865.93429578993,-219.36832519531163,-0.9107974628650859,40379.41485351563,0.3119934143622716,0.0,0.0
2022-12-13 01:00:00,38448.2351953125,23228.532300347222,-637.4019954427094,-2.6707607066325925,38448.2351953125,0.3100699985689587,0.0,0.0
2022-12-13 02:00:00,37178.63431532118,22535.913776041667,-692.6185243055552,-2.9817575873926474,37178.63431532118,0.3077696818113327,0.0,0.0
2022-12-13 03:00:00,36423.410464409724,22191.063272569445,-344.85050347222204,-1.5302264061679132,36423.410464409724,0.3167533940407965,0.0,0.0
2022-12-13 04:00:00,36157.936103515625,21325.307395833333,-865.7558767361115,-3.9013717643997685,36157.936103515625,0.3239186287257406,0.0,0.0
2022-12-13 05:00:00,36701.58150499132,20142.03142089844,-1183.2759749348952,-5.548693638836319,36701.58150499132,0.32903576582670213,0.0,0.0
