SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY,Date,Hour,Minute,DayOfWeek,Month,IsWeekend,IsPeakHour,IsOffPeakHour,LoadChange,LoadChangePct,LoadMA4,LoadMA24,LoadStd4,LoadVolatility,LoadLag1,LoadLag4,LoadLag24
2025-04-15 13:30:12,N,53280.18136,155.5,53124.68136,2025-04-15,13,30,1,4,0,0,0,52.47388000000501,0.0009887261618009677,53096.747375,50641.12189458334,297.91076239985887,0.005610715856017327,53072.20748,52087.21311,46231.40956
2025-04-15 13:45:13,N,53172.24857,146.4,53025.84857,2025-04-15,13,45,1,4,0,0,0,-98.83279000000039,-0.0018603930879181913,53170.4249875,50921.17636666666,196.54975446008018,0.0036965992749971,53124.68136,52731.13812,46304.54124
2025-04-15 14:00:15,N,53740.10434,134.8,53605.30434,2025-04-15,14,0,1,4,0,1,0,579.4557700000005,0.010927798151783552,53207.0104375,51220.70155125,268.5811915456651,0.005047853456475551,53025.84857,53458.96254,46416.69991
2025-04-15 14:15:10,N,54205.65971,134.5,54071.15971,2025-04-15,14,15,1,4,0,1,0,465.8553699999975,0.008690471507170954,53456.74849500001,51522.378223750005,481.4953470568741,0.00900719479977182,53605.30434,53072.20748,46830.91957
2025-04-15 14:30:12,N,54387.95564,134.8,54253.15564,2025-04-15,14,30,1,4,0,1,0,181.99592999999732,0.0033658595631404355,53738.867065,51793.87225458334,548.0710160848298,0.010198782483112435,54071.15971,53124.68136,47737.2989
2025-04-15 14:45:13,N,54238.33371,134.5,54103.83371,2025-04-15,14,45,1,4,0,1,0,-149.32192999999825,-0.002752317874205008,54008.36335,52043.511361666664,280.1415137937858,0.005187002464383802,54253.15564,53025.84857,48112.49514
2025-04-15 15:00:14,N,54820.10706,148.5,54671.60706,2025-04-15,15,0,1,4,0,1,0,567.7733500000031,0.010494142670985286,54274.939029999994,52260.574461250006,276.0574118394757,0.005086277695989441,54103.83371,53605.30434,49462.09267
2025-04-15 15:15:13,N,54421.80993,149.0,54272.80993,2025-04-15,15,15,1,4,0,1,0,-398.797129999999,-0.00729441023312767,54325.351585000004,52439.33594166667,242.855171446659,0.004470383796166995,54671.60706,54071.15971,49982.5344
2025-04-15 15:30:11,N,54630.4655,149.0,54481.4655,2025-04-15,15,30,1,4,0,1,0,208.65556999999535,0.00384456913635235,54382.42905,52641.40586666667,247.02486705730047,0.0045423654546615086,54272.80993,54253.15564,49631.7873
2025-04-15 15:45:11,N,55367.17912,157.4,55209.77912,2025-04-15,15,45,1,4,0,1,0,728.3136200000008,0.013368098917970568,54658.9154025,52850.92148375,401.7369857748006,0.007349889452003759,54481.4655,54103.83371,50181.40431
2025-04-15 16:00:15,N,55509.75567,151.6,55358.15567,2025-04-15,16,0,1,4,0,1,0,148.37655000000086,0.0026875048653518478,54830.552554999995,53050.93831041667,533.8902640894121,0.00973709436091989,55209.77912,54671.60706,50557.75183
2025-04-15 16:15:11,N,55749.11764,108.9,55640.21764,2025-04-15,16,15,1,4,0,1,0,282.0619700000025,0.005095219784441971,55172.4044825,53214.55239125,494.0128861519901,0.008953985072531773,55358.15567,54272.80993,51713.4797
2025-04-15 16:30:13,N,55548.77221,109.2,55439.57221,2025-04-15,16,30,1,4,0,1,0,-200.64543000000413,-0.0036061223070371173,55411.93116,53378.91561666667,179.47701356557008,0.0032389597295812795,55640.21764,54481.4655,51494.8548
2025-04-15 16:45:10,N,56072.7168,109.6,55963.1168,2025-04-15,16,45,1,4,0,1,0,523.544590000005,0.00944351785430209,55600.26558000001,53572.349975,269.37999346297164,0.0048449407687698245,55439.57221,55209.77912,51320.6922
2025-04-15 17:00:13,N,56499.60146,97.2,56402.40146,2025-04-15,17,0,1,4,0,1,0,439.28465999999753,0.00784953885913655,55861.3270275,53768.75177041666,420.2733977679664,0.007523512600426943,55963.1168,55358.15567,51688.75837
2025-04-15 17:15:11,N,56629.11851,97.6,56531.51851,2025-04-15,17,15,1,4,0,1,0,129.11705000000075,0.002289211924630004,56084.152245,53972.22734666666,493.8124267281757,0.00880484783956416,56402.40146,55640.21764,51648.10468
2025-04-15 17:30:09,N,57108.3785,97.7,57010.6785,2025-04-15,17,30,1,4,0,1,0,479.1599900000001,0.008475979464716489,56476.928817500004,54184.12123458333,431.0552456618543,0.007632412999204855,56531.51851,55439.57221,51925.22519
2025-04-15 17:45:11,N,57066.00028,97.4,56968.60028,2025-04-15,17,45,1,4,0,1,0,-42.07822000000306,-0.0007380761132320685,56728.299687499995,54383.10258708333,306.81952078761657,0.005408579535748431,57010.6785,55963.1168,52193.04782
2025-04-15 18:00:14,N,56826.17577,69.9,56756.27577,2025-04-15,18,0,1,4,0,1,0,-212.32450999999855,-0.0037270445290287298,56816.768265,54595.04287208334,220.36402057650918,0.0038785032536293833,56968.60028,56402.40146,51669.70893
2025-04-15 18:15:11,N,56019.16732,-16.5,56035.66732,2025-04-15,18,15,1,4,0,1,0,-720.6084499999997,-0.012696542192447658,56692.8054675,54761.47376458333,452.0195672719555,0.007973138100055437,56756.27577,56531.51851,52041.3259
2025-04-15 18:30:10,N,55847.85295,-69.4,55917.25295,2025-04-15,18,30,1,4,0,1,0,-118.4143699999986,-0.0021131963919297286,56419.44908,54921.058757916675,521.0593862033559,0.009235456827388005,56035.66732,57010.6785,52087.21311
2025-04-15 18:45:10,N,55446.48396,-71.2,55517.68396,2025-04-15,18,45,1,4,0,1,0,-399.56898999999976,-0.007145719235479713,56056.72,55037.16483458333,516.3436843577808,0.009211093413203284,55917.25295,56968.60028,52731.13812
2025-04-15 19:00:11,N,55098.48488,-112.0,55210.48488,2025-04-15,19,0,1,4,0,1,0,-307.1990799999985,-0.005533355466004899,55670.2722775,55110.14493208334,378.2418252952071,0.006794323250473473,55517.68396,56756.27577,53458.96254
2025-04-15 19:15:10,N,54449.38823,-199.9,54649.28823,2025-04-15,19,15,1,4,0,1,0,-561.1966500000053,-0.010164675264485836,55323.677505,55175.85663,534.6599474047745,0.009664215603824482,55210.48488,56035.66732,53072.20748
2025-04-15 19:30:11,N,53809.19815,-200.3,54009.49815,2025-04-15,19,30,1,4,0,1,0,-639.7900799999989,-0.011707198770958245,54846.738805,55212.723996249995,663.9370582736611,0.012105315151630028,54649.28823,55917.25295,53124.68136
2025-04-15 19:45:10,N,53384.15289,-200.9,53585.05289,2025-04-15,19,45,1,4,0,1,0,-424.4452600000004,-0.007858715124906237,54363.5810375,55236.02417625,714.2258013533336,0.01313794617136536,54009.49815,55517.68396,53025.84857
2025-04-15 20:00:15,N,53315.16686,-200.4,53515.56686,2025-04-15,20,0,1,4,0,1,0,-69.48603000000003,-0.001296742771582996,53939.851532500004,55232.285114583334,520.9128651147229,0.009657291414694772,53585.05289,55210.48488,53605.30434
