SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
04/15/2025 12:45:12,N,3309.70000028,14165.72265696,3197.43981473
04/15/2025 13:00:17,N,3307.33613395,14462.9657855,3318.23278701
04/15/2025 13:15:13,N,3306.99999952,14485.039958,3255.85330824
04/15/2025 13:30:12,N,3310.99999952,14480.46899199,3115.22286264
04/15/2025 13:45:13,N,3312.99999952,14467.50411653,3107.11736826
04/15/2025 14:00:15,N,3308.99999952,14588.78622984,3246.20435228
04/15/2025 14:15:10,N,3306.60000181,14597.58595481,3262.64177796
04/15/2025 14:30:12,N,3340.70156431,14605.08029571,3266.27762527
04/15/2025 14:45:13,N,3389.60000181,14688.68628469,3182.18436326
04/15/2025 15:00:14,N,3395.60000181,14792.23467531,3404.77665405
04/15/2025 15:15:13,N,3397.29999876,14801.2386569,3406.13372911
04/15/2025 15:30:11,N,3397.29999876,14788.05934298,3403.50355141
04/15/2025 15:45:11,N,3393.29999876,14755.43247556,3394.49844082
04/15/2025 16:00:15,N,3394.00117063,14783.31800436,3358.29167642
04/15/2025 16:15:11,N,3394.29999876,14817.98650717,3358.75181232
04/15/2025 16:30:13,N,3396.29999876,14814.14419627,3371.64800291
04/15/2025 16:45:10,N,3394.29999876,14801.6776297,3343.81207505
04/15/2025 17:00:13,N,3421.29999876,14866.19301724,3347.96449919
04/15/2025 17:15:11,N,3420.29999876,14858.07151794,3344.25004532
04/15/2025 17:30:09,N,3421.29999876,14867.92177295,3355.27854407
04/15/2025 17:45:11,N,3420.92890501,14860.61476969,3226.54626147
04/15/2025 18:00:14,N,3467.19257688,15863.40228763,3785.21048071
04/15/2025 18:15:11,N,3534.79999876,15866.03043839,3770.33144464
04/15/2025 18:30:10,N,3536.79999876,15830.27746608,3734.20768558
04/15/2025 18:45:10,N,3532.79999876,15823.21665111,3682.58949389
04/15/2025 19:00:11,N,3914.79999876,17152.27332124,3883.30287548
04/15/2025 19:15:10,N,3914.99999952,17145.73871172,3863.20669028
04/15/2025 19:30:11,N,3916.99999952,17123.44466626,3849.42040078
04/15/2025 19:45:10,N,3916.99999952,17102.62818038,3842.16869039
04/15/2025 20:00:15,N,3530.99999952,16257.91541349,4500.70230923
04/15/2025 20:15:10,N,3534.90000104,16254.53680262,4501.00479362
04/15/2025 20:30:11,N,3533.90000104,16248.64344052,4505.00741396
04/15/2025 20:45:10,N,3534.90000104,16089.15842509,4497.479
04/15/2025 21:00:11,N,3478.90000104,16676.47949215,7826.53687079
04/15/2025 21:15:12,N,3479.79999876,16339.31734809,7887.77000108
