SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
04/15/2025 06:30:11,N,851.43210084,1301.40918989,318.64298485,9123.60760056,9123.60760056,.1,217.48359392,1415.33411931,0,10252.94358
04/15/2025 06:45:11,N,848.16110538,1316.53030731,317.72985313,9294.72213855,9294.72213855,.1,301.52861658,1400.35787343,0,10339.97743
04/15/2025 07:00:13,N,710.08661651,1095.60453267,316.8693795,9421.04256448,9421.04256448,.1,358.74618234,1517.00779142,0,10485.77555
04/15/2025 07:15:10,N,655.78529877,973.94583702,234.33101317,9069.51453669,9069.51453669,.1,659.87128531,1297.23041573,0,10315.89385
04/15/2025 07:30:10,N,738.31888487,1075.61424339,235.32198441,8904.00882543,8904.00882543,.1,475.25329466,1304.79855966,0,10140.33331
04/15/2025 07:45:11,N,1203.0231283,1539.62712714,240.76195763,8654.3128883,8654.3128883,.1,158.25190506,1443.29897633,0,10210.83997
04/15/2025 08:00:14,N,1996.2112072,2495.94692689,240.51165245,8492.24442789,8492.24442694,.1,239.33851256,1135.85646563,0,10751.69623
04/15/2025 08:15:10,N,3281.2353711,3702.04803907,271.47143028,8149.6808663,8149.6808663,.47145424,224.19261429,818.74165105,0,11630.21488
04/15/2025 08:30:11,N,4804.56838464,5317.34470533,272.59028099,8070.79697301,8070.79697301,.1,3.08535947,1002.92371177,0,12882.27188
04/15/2025 08:45:10,N,6106.832668,6674.81414001,272.38328026,8218.1717965,8218.1717965,.1,.42987124,1052.59600067,0,14334.63925
04/15/2025 09:00:13,N,6941.07410251,7988.21779977,272.9779763,8467.5958785,8467.5958785,.1,0,460.34200763,0,15550.48388
04/15/2025 09:15:10,N,7476.05042099,8331.78185629,97.57717369,8700.63133984,8700.63133984,.1,.0027735,264.3429985,0,16172.09899
04/15/2025 09:30:11,N,7252.44929084,8162.04754971,97.52106712,9278.19158252,9278.19158252,.1,.00076372,434.2400074,0,16532.19482
04/15/2025 09:45:10,N,7929.29845043,9004.43277882,96.28657005,9507.64083692,9507.64083692,.1,31.00624036,430.24400711,0,17457.58778
04/15/2025 10:00:14,N,8219.43366929,9390.7323892,97.3717141,10200.48713168,10200.48713073,.1,14.75645098,299.14200377,0,18428.14622
04/15/2025 10:15:12,N,7981.84203401,9206.018548,97.22898338,9934.99946229,10389.9489023,.1,5.41277725,205.9930036,0,18126.96828
04/15/2025 10:30:12,N,8431.86398023,9641.99510025,95.17905663,9627.6244879,9834.24610045,.1,0,211.18800306,0,18007.6483
04/15/2025 10:45:11,N,8678.65208524,9877.1011281,93.9435067,9340.8929781,9340.8929781,.1,0,239.98500585,0,18071.08835
