DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
04/15/2025,01:00,CCEC_PUN1, 19.05,N
04/15/2025,01:00,CCEC_PUN2, 19.05,N
04/15/2025,01:00,CCEC_ST1, 19.05,N
04/15/2025,01:00,CEDROHI_CHW1, -23.72,N
04/15/2025,01:00,CEDRVALE_RN, 48.41,N
04/15/2025,01:00,CFLATS_UNIT, 14.19,N
04/15/2025,01:00,CHALUP_ALL, 7.18,N
04/15/2025,01:00,CHAL_SLR_RN, 48.56,N
04/15/2025,01:00,CHAMON_UN1, 25.35,N
04/15/2025,01:00,CHAMON_UN2, 25.35,N
04/15/2025,01:00,CHEDPW_GT2, 25.35,N
04/15/2025,01:00,CHE_CC1, 25.35,N
04/15/2025,01:00,CHE_LYD, 25.35,N
04/15/2025,01:00,CHE_LYD2, 25.35,N
04/15/2025,01:00,CHE_PUN1, 25.35,N
04/15/2025,01:00,CHE_PUN2, 25.35,N
04/15/2025,01:00,CHIL_SLR, 25.2,N
04/15/2025,01:00,CHISMGRD_RN, 24.16,N
04/15/2025,01:00,CISC_RN, 27.72,N
04/15/2025,01:00,CITRUSCY_RN, 9.08,N
04/15/2025,01:00,CITYVICT_ALL, 25.12,N
04/15/2025,01:00,CLO_RN, 25.36,N
04/15/2025,01:00,CMPD_SLR_RN, 25.26,N
04/15/2025,01:00,CNLY_ESS_RN, 13.27,N
04/15/2025,01:00,CNTRY_RN, 25.22,N
04/15/2025,01:00,CN_BRKS_UNT1, 22.21,N
04/15/2025,01:00,COL_COLETOG1, 20.51,N
04/15/2025,01:00,CONIGLIO_RN, 25.25,N
04/15/2025,01:00,CONTINEN_RN, 8.8,N
04/15/2025,01:00,CORALSLR_ALL, 25.24,N
04/15/2025,01:00,CORAZON_RN, -9.26,N
04/15/2025,01:00,COTPLNS_RN, 22.42,N
04/15/2025,01:00,COTTON_PAP2, 19,N
04/15/2025,01:00,COTULLA_RN, 41.5,N
04/15/2025,01:00,COYOTSPR_AGR, 48.41,N
04/15/2025,01:00,COYOTSPR_RN, 48.41,N
04/15/2025,01:00,CPSES_UNIT1, 24.72,N
04/15/2025,01:00,CPSES_UNIT2, 24.72,N
04/15/2025,01:00,CRANELL_ALL, 18.73,N
04/15/2025,01:00,CRAWFISH_RN, 22.65,N
04/15/2025,01:00,CROSSETT_ALL, 47.33,N
04/15/2025,01:00,CROSSTRL_RN, 27.2,N
04/15/2025,01:00,CRWN_SLR_UN1, 25.18,N
04/15/2025,01:00,CR_RN, 25.35,N
04/15/2025,01:00,CSC_CSECG1_2, 25.06,N
04/15/2025,01:00,CS_RN, 25.35,N
04/15/2025,01:00,CTW_RN, 25.35,N
04/15/2025,01:00,CVC_CC1, 25.35,N
04/15/2025,01:00,CVC_CVCG1_5, 25.35,N
04/15/2025,01:00,CVC_CVC_G2, 25.35,N
04/15/2025,01:00,CVC_CVC_G3, 25.35,N
04/15/2025,01:00,DAG_ALL, 25.27,N
04/15/2025,01:00,DANSBY_ALL, 25.34,N
04/15/2025,01:00,DAN_ALL, 25.65,N
04/15/2025,01:00,DA_BESS, 25.31,N
04/15/2025,01:00,DA_BESS2, 25.31,N
04/15/2025,01:00,DC2SES_ALL, 24.79,N
04/15/2025,01:00,DC_E, 25.55,N
04/15/2025,01:00,DC_L, -2.18,N
04/15/2025,01:00,DC_N, 22.16,N
04/15/2025,01:00,DC_R, 9.09,N
04/15/2025,01:00,DDPEC_CC1, 25.35,N
04/15/2025,01:00,DDPEC_GT1, 25.35,N
04/15/2025,01:00,DDPEC_GT2, 25.35,N
04/15/2025,01:00,DDPEC_GT3, 25.35,N
04/15/2025,01:00,DDPEC_GT4, 25.35,N
04/15/2025,01:00,DDPEC_GT6, 25.35,N
04/15/2025,01:00,DDPEC_ST1, 25.35,N
04/15/2025,01:00,DECKER_GT, 25.15,N
04/15/2025,01:00,DENISON_G1_2, 24.5,N
04/15/2025,01:00,DERMOTT_ALL, 23.34,N
04/15/2025,01:00,DGFS_ESR_RN, 47.67,N
04/15/2025,01:00,DIBOL_RN, 25.77,N
04/15/2025,01:00,DIB_CC1, 25.35,N
04/15/2025,01:00,DIB_DIB_G1, 25.35,N
04/15/2025,01:00,DIB_DIB_G2, 25.35,N
04/15/2025,01:00,DIB_DIB_G3, 25.35,N
04/15/2025,01:00,DIB_DIB_G4, 25.35,N
04/15/2025,01:00,DIB_PUN1, 25.35,N
04/15/2025,01:00,DIB_PUN2, 25.35,N
04/15/2025,01:00,DILEOS_UNIT1, 24.91,N
04/15/2025,01:00,DKNS_ESS_RN, 22.63,N
04/15/2025,01:00,DMA_RN, 25.27,N
04/15/2025,01:00,DOWGEN_PUN1, 25.41,N
04/15/2025,01:00,DOWGEN_PUN2, 25.41,N
04/15/2025,01:00,DOWGEN_PUN3, 25.41,N
04/15/2025,01:00,DOW_61_2_63, 25.41,N
04/15/2025,01:00,DOW_64, 25.41,N
04/15/2025,01:00,DOW_81_2_84, 25.41,N
04/15/2025,01:00,DOW_G37_G35, 25.41,N
04/15/2025,01:00,DOW_G66_ST65, 25.41,N
04/15/2025,01:00,DOW_G67, 25.41,N
04/15/2025,01:00,DOW_G96_ST95, 25.41,N
04/15/2025,01:00,DRCK_SLR_RN, 25.82,N
04/15/2025,01:00,DRYFRIO_RN, 31.33,N
04/15/2025,01:00,DSWL_BES1, 25.44,N
04/15/2025,01:00,DUKE_CC1, 9.4,N
04/15/2025,01:00,DUKE_GST1CCU, 9.4,N
04/15/2025,01:00,DUKE_GT2_CCU, 9.4,N
04/15/2025,01:00,DUP_PUN1, 24.9,N
04/15/2025,01:00,DUP_PUN2, 24.9,N
04/15/2025,01:00,DUP_PUN3, 24.9,N
04/15/2025,01:00,DUP_PUN4, 24.9,N
04/15/2025,01:00,EBELLS_UNIT1, 25.21,N
04/15/2025,01:00,EBNY_ESS_RN, 25.13,N
04/15/2025,01:00,ECLIPSE_UN1, 36.57,N
04/15/2025,01:00,EIFSLR_UNIT1, 25.39,N
04/15/2025,01:00,ELB_ELBCREEK, 3.19,N
04/15/2025,01:00,ELECTRAW_1_2, 22.16,N
04/15/2025,01:00,ELMCRK_RN, 26.05,N
04/15/2025,01:00,ELSAUZ_ALL, 7.45,N
04/15/2025,01:00,ELSA_ESR_RN, 11.25,N
04/15/2025,01:00,ELS_RN_1, 25.39,N
04/15/2025,01:00,ELZA_SLR_RN, 25.94,N
04/15/2025,01:00,EL_RAYO_ALL, 8.23,N
04/15/2025,01:00,EMPCT_RN, 26.56,N
04/15/2025,01:00,ENDPARK_ESS1, 23.84,N
04/15/2025,01:00,ERSL_RN, 35.75,N
04/15/2025,01:00,ESCONDID_ESR, 37.84,N
04/15/2025,01:00,ESTONIAN_ALL, 25.41,N
