SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
04/15/2025 12:45:12,N,15771.78394591,19441.68293671,3700.5,1457.83550167,1506.76171183,0,165.46123328,1241.31209278,0,17317.7666
04/15/2025 13:00:17,N,15860.31059979,19478.6727631,3698.6000061,1388.07310128,1507.07309651,0,200.20984572,1202.51146507,0,17461.58673
04/15/2025 13:15:13,N,15806.63485812,19059.2982931,3699.1000061,1453.11138081,1453.11138081,0,161.69646444,1121.29461383,0,17306.79875
04/15/2025 13:30:12,N,15564.38463639,19003.58494472,3698.7000122,1395.80191183,1395.80191183,0,276.63128906,1191.51498723,0,17109.36268
04/15/2025 13:45:13,N,15779.56035422,19171.35209273,3788.30000305,1285.11809849,1285.11809849,0,211.24022643,1192.81596326,0,17105.34516
04/15/2025 14:00:15,N,15850.36689853,19297.73961447,3877.40000915,1165.8148353,1165.8148353,0,169.02457408,1135.10672569,0,17167.45009
04/15/2025 14:15:10,N,16010.26707839,19431.48614545,3901.42599816,1038.70177376,1038.70177376,0,183.28815142,1069.31884288,0,17074.44806
04/15/2025 14:30:12,N,16029.84985828,19677.82492642,3991.26000976,1024.25069904,1024.25069904,0,212.3695543,1216.28100681,32.1015625,17441.33878
04/15/2025 14:45:13,N,16531.74394339,20782.60753962,4258.7599945,837.61697131,860.17255234,0,297.40144575,1300.60179185,87,17399.54702
04/15/2025 15:00:14,N,16748.18431663,21148.13014232,4503.61151123,864.12384098,864.12384098,0,295.64218045,1393.15992832,87,17665.90022
04/15/2025 15:15:13,N,16667.02341413,20369.2668172,4373.85997009,831.65802186,831.65802186,0,257.66872162,1396.08248424,87,17779.46035
04/15/2025 15:30:11,N,17096.59834193,20378.10055934,4374.65997314,751.44771212,751.44771212,0,257.16961885,1391.24743366,87,18006.72637
04/15/2025 15:45:11,N,17355.12239074,20592.39887249,4422.55998229,766.50013726,766.50013726,0,287.65694707,1358.21577644,87,18314.5734
04/15/2025 16:00:15,N,17306.36612319,20453.71527111,4424.05999755,703.69251334,703.69251334,0,272.52485721,1384.03192901,86.70117187,18207.00538
04/15/2025 16:15:11,N,17458.96992111,20606.41075825,4637.05998229,656.96740818,656.96740818,0,334.46829184,1428.22918558,87,18338.48241
04/15/2025 16:30:13,N,17352.69193267,20709.65473317,4792.85997009,630.96297442,630.96297442,0,265.10832586,1425.62534999,87,18266.23866
04/15/2025 16:45:10,N,17657.90698432,21247.62994145,5216.85997009,555.99588161,555.99588161,0,263.84078537,1420.49177885,87,18511.73242
04/15/2025 17:00:13,N,17472.86864089,21960.96797799,5561.15997314,575.04833376,575.04833376,0,229.45542716,1341.47047662,87,18446.0742
04/15/2025 17:15:11,N,17359.63530921,22139.35903214,5793.95996093,566.63756686,566.63756686,0,225.8860581,1332.92497301,87,17913.09668
04/15/2025 17:30:09,N,16970.92343139,23152.13068436,6293.95999145,515.29770633,515.29770633,0,286.08232402,1349.98045206,87,18023.38261
04/15/2025 17:45:11,N,17425.68305015,22720.87985849,6294.95996093,463.21915888,463.21915888,0,234.85486882,1345.11766362,86.62890625,17847.44381
04/15/2025 18:00:14,N,16414.99031543,21701.032413,6405.57998657,470.48756915,470.48756915,0,383.03249584,1405.59577369,86.89257812,17247.34068
04/15/2025 18:15:11,N,16458.79230165,20796.78068827,6405.57997131,480.05501079,480.05501079,0,366.60927844,1324.86992311,150,16733.58283
04/15/2025 18:30:10,N,16806.92647695,19621.6547489,6405.57997131,492.67979699,492.67979699,0,348.40782363,1301.31396007,150,17076.41071
04/15/2025 18:45:10,N,16702.60013722,18643.60472773,6260.07997417,500.80245351,500.80245351,0,337.41350954,1280.6000688,150,17085.40049
04/15/2025 19:00:11,N,15565.5683736,16827.44447469,5946.37997722,543.62374556,543.62374556,0,1483.01766383,2345.60152244,515,17116.67109
04/15/2025 19:15:10,N,15030.59334413,15975.16616702,6031.37997722,563.21401178,563.21401178,0,1521.57146471,2424.0501945,515,16804.06035
04/15/2025 19:30:11,N,14446.19773801,15302.5499823,6056.37997722,567.36449617,567.36449617,0,1835.47160232,2407.58260571,515,16697.31417
04/15/2025 19:45:10,N,14309.2722729,15108.44429841,6056.37997722,569.85748827,569.85748827,0,1895.99276065,2398.18872463,515,16618.49004
04/15/2025 20:00:15,N,14993.10961669,15823.91318778,6569.57997417,683.98853385,683.98853385,0,1297.62308895,1666.32616007,150,16783.33369
04/15/2025 20:15:10,N,15230.7277059,16092.68281669,6569.57997417,793.53033447,793.53033447,0,1280.65363905,1668.8967062,150,17176.8767
04/15/2025 20:30:11,N,15189.07295007,16067.57454414,6569.57997417,937.37500789,937.37500789,0,1014.97188581,1663.78219179,150,17119.14246
04/15/2025 20:45:10,N,15138.21410794,16048.23186416,6569.57997417,1136.40926438,1136.40926438,0,918.09474122,1662.07803821,150,17200.57855
04/15/2025 21:00:11,N,15177.87316246,16110.41921634,6582.37997722,1307.31561696,1307.31561696,0,872.70390962,1884.863775,150,17143.78079
04/15/2025 21:15:12,N,14889.18276042,16106.12490482,6582.37997722,1509.6524201,1509.6524201,0,645.99414415,1851.43708792,150,17307.22979
04/15/2025 21:30:10,N,14354.65739269,16137.55454654,6582.37997722,1610.30469149,1610.30469149,0,555.1471677,1923.83377394,150,16813.21457
04/15/2025 21:45:10,N,14155.18422843,16064.1816783,6570.37997722,1715.76130425,1715.76130425,0,500.96145974,1948.01835656,150,16470.40482
04/15/2025 22:00:15,N,13798.80750028,15985.69931284,6512.77996826,1783.12557655,1783.12557655,0,185.03692046,1709.71143617,150,16035.40453
04/15/2025 22:15:10,N,13195.65942056,15998.0587538,6516.97996807,1844.19655263,1844.19655263,0,62.34854725,1449.51063108,0,15287.00782
04/15/2025 22:30:11,N,12586.15848101,15171.619043,6189.75861489,1892.51676809,1892.51676809,0,24.34375228,1564.16999179,0,14708.64187
04/15/2025 22:45:09,N,12167.21244014,14685.81001366,6064.87997436,1909.90937438,1909.90937438,0,36.07502777,1590.5070796,0,14269.00206
04/15/2025 23:00:12,N,11715.84729622,14214.2413864,5869.31260346,1938.3915362,1938.3915362,0,76.72176822,1465.04785182,0,13891.2394
04/15/2025 23:15:09,N,11515.41340891,14059.26752535,5832.87997436,1956.48713913,1956.48713913,0,77.71411502,1411.13104683,0,13639.21746
04/15/2025 23:30:11,N,11005.31024812,14060.9736564,5832.87997436,2024.56249479,2024.56249479,0,46.72329518,1486.20962988,0,13297.5911
04/15/2025 23:45:10,N,10662.3288165,14059.11327848,5832.87997436,2059.11350947,2059.11350947,0,21.24200166,1451.08158922,0,12905.84756
