SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-IRR,SUM  HASL NON-IRR,SUM  LASL NON-IRR,SUM  BASE POINT WGR,SUM   HASL  WGR,SUM  LASL WGR,SUM  BASE POINT PVGR,SUM   HASL  PVGR,SUM  LASL PVGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
04/15/2025 04:30:13,N,20742.6708965,30204.42834135,13123.65749359,18348.72992613,18524.77335265,.1,.64121494,.64863178,.29276985,2960.69515408,7362.72176699,1350.90000009,42045.10789
04/15/2025 04:45:10,N,20693.5264254,30305.11829277,13123.58943939,18326.27202932,18387.88642828,3.64631495,.63161792,.63619606,.28945221,2949.56755701,7357.4547188,1346.90000009,41921.36268
04/15/2025 05:00:11,N,21129.12024334,30265.26738091,13112.30459594,17955.51721462,17955.51721462,1.32906184,.60920168,.60977142,.28855879,3080.21947973,7416.08322903,1347.90000009,42235.02038
04/15/2025 05:15:11,N,22302.16035355,30270.23452898,13073.14986419,17451.90614461,17451.90614461,.1,.57124017,.58475001,.29249887,3029.26842351,7400.83759256,1347.90000009,42476.56458
04/15/2025 05:30:11,N,23590.12647821,30274.26194783,13085.62081146,16551.9178934,16551.9178934,.1,.59036175,.59369066,.28865457,3187.73733042,7390.49934858,1345.90000009,42938.8024
04/15/2025 05:45:10,N,24292.39749498,30544.16556879,13214.73461151,16178.33536186,16178.34459066,.1,.83185049,.83325484,.28939339,3299.38651853,7392.42962643,1345.90000009,43507.15782
04/15/2025 06:00:16,N,24941.71987058,29588.10445353,13250.14639282,15810.54051604,15810.54401472,.32999999,1.07529076,1.07847427,.29117256,3380.13458264,8618.87011161,1345.90000009,43975.33405
04/15/2025 06:15:10,N,26395.49258857,29436.3544602,13209.96804809,14934.8617202,14934.8617202,.34843505,.7597898,.76066662,.28886586,4181.35914351,8637.57194016,1347.90000009,44976.30984
04/15/2025 06:30:11,N,27131.34469286,29830.33045193,13315.12004089,14025.8167518,14025.8167518,.34843505,.56491017,.57293943,.32120401,4642.00464809,8629.78772239,1342.90000009,45394.13816
04/15/2025 06:45:11,N,27861.54984464,30326.68857743,13625.90729427,13780.01982871,13780.01982871,.34843505,.63210184,.63533675,.30822163,4596.97077251,8621.21207253,1341.90000009,46005.93833
04/15/2025 07:00:13,N,27514.93740498,30643.09194823,14198.64058494,13671.15655475,13671.15655475,.39843505,21.65926219,21.66543129,.94307898,4880.44043523,8432.63435973,1347.90000009,46064.21209
04/15/2025 07:15:10,N,27271.09969797,29901.7562923,13444.90229225,13174.44088828,13174.44088828,.39843505,240.54791019,245.08531662,.17374999,5688.64064652,8305.29020848,1362.92065406,46015.71987
04/15/2025 07:30:10,N,26876.84512608,29858.76463493,13446.40585517,12804.82850466,12804.82850466,.69099602,899.34087361,920.3833076,1.27020269,5156.44192209,8234.35967265,1346.52021443,46110.79627
04/15/2025 07:45:11,N,26572.14217481,29931.33575191,13445.69296646,12275.07260157,12275.07308527,.52843505,2551.21250499,2556.17850007,7.033398,4272.5389677,8317.25355394,1346.90838932,46197.40198
