SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
04/15/2025 05:15:11,N,6240.01474231,7969.77244078,3432.14244019,3212.9468677,3212.9468677,0,2671.82037777,3672.74163627,1028.90000009,11951.72094
04/15/2025 05:30:11,N,6451.64058333,7978.25861632,3431.90440308,3126.59536802,3126.59536802,0,2752.36932378,3666.77996253,1028.90000009,12319.98607
04/15/2025 05:45:10,N,6825.93346882,8232.00881087,3523.08750855,3163.31146201,3163.32069081,0,2692.72361803,3669.06607568,1028.90000009,12566.25254
04/15/2025 06:00:16,N,6907.43393793,8094.59105669,3511.04103028,3233.77798855,3233.78148723,0,2811.28340152,4099.97102952,1028.90000009,12837.62051
04/15/2025 06:15:10,N,7221.75118755,8091.03023516,3511.22413574,3006.92826122,3006.92826122,.24843505,3287.86601487,4086.21188831,1028.90000009,13338.55842
04/15/2025 06:30:11,N,7536.23758366,8393.39272175,3616.48130617,2642.82438965,2642.82438965,.24843505,3384.63519236,4082.47742176,1025.90000009,13387.5638
04/15/2025 06:45:11,N,7804.95934967,8592.73776609,3708.79892188,2379.57119584,2379.57119584,.24843505,3326.92742539,4098.54935836,1025.90000009,13444.85857
04/15/2025 07:00:13,N,7790.46833539,9112.5287421,4240.88905095,2190.34042736,2190.34042736,.29843505,3254.43933176,3692.85619401,1025.90000009,13264.46694
04/15/2025 07:15:10,N,7409.10011981,8477.64679128,3584.91780815,2105.82385616,2105.82385616,.29843505,3420.43493871,3723.4485848,1045.92065406,12784.94429
04/15/2025 07:30:10,N,7346.21515664,8548.66414999,3584.9328856,1965.7652063,1965.7652063,.59099602,3232.2697728,3720.62012469,1029.52021443,12671.47979
04/15/2025 07:45:11,N,7418.24828138,8819.27862282,3584.96105943,1831.4513977,1831.4518814,.42843504,3065.33526634,3711.10889729,1029.90838932,12368.98578
04/15/2025 08:00:14,N,7420.02784718,8920.35791244,3525.02625356,1672.4177717,1672.4182554,.35843504,2924.94534912,3398.75535827,1028.90000009,11898.4857
04/15/2025 08:15:10,N,7069.58386572,9100.39829814,3410.46570764,1509.99206458,1509.99254828,.24843505,2698.04667822,3260.67440092,1022.90000009,11652.42702
04/15/2025 08:30:11,N,6778.91604244,9280.73695575,3322.87753472,1455.95454686,1455.95454686,.24843505,2744.52336715,3426.41748881,1027.90000009,11073.92408
04/15/2025 08:45:10,N,6893.38224977,9304.86797474,3150.3741549,1383.37347563,1383.37347563,.24843505,2778.56456758,3494.208817,1027.90000009,11141.31739
04/15/2025 09:00:13,N,7024.88257415,9092.15569853,2888.98188195,1333.90301483,1355.59615676,0,2741.87281212,3577.79993033,1021.90000009,11412.90215
04/15/2025 09:15:10,N,7450.06991831,9120.83130764,2868.98188195,1299.2075474,1355.32850954,.85565555,2742.2592741,3358.22633552,1019.90000009,11404.26856
04/15/2025 09:30:11,N,7196.57704311,9113.84051442,2888.98188195,1475.92148154,1523.50893729,1.38969314,2720.26445545,3537.15509271,1019.90000009,11592.11536
04/15/2025 09:45:10,N,6641.79541051,9144.03600202,2761.98188195,1490.43904738,1539.70638518,0,2737.29646931,3565.70334482,1019.90000009,11032.23849
04/15/2025 10:00:14,N,6406.59186433,8446.86566233,2241.43383203,1637.85380809,1667.79163234,.96633011,2741.87211908,3657.06776857,1020.90000009,10549.17278
04/15/2025 10:15:12,N,6452.24449967,8166.38457965,2223.54189477,1696.40663293,1726.92135671,.71230542,2756.98852839,3552.1980741,1018.90000009,10859.42125
04/15/2025 10:30:12,N,6621.64319112,8539.36913086,2223.62738573,1591.85513529,1613.39908919,.89861977,2779.47285692,3649.96970283,1018.90000009,10985.28007
