Time,Coal and Lignite,Hydro,Nuclear,Power Storage,Solar,Wind,Natural Gas,Other
2025-04-10 03:14:57-05:00,7888.607421875,0.0,5064.63720703125,309.767395019531,0.274227201938629,10370.3330078125,16756.407653808597,0.0
2025-04-10 03:19:57-05:00,7854.29931640625,0.0,5064.36181640625,246.649536132812,0.277081102132797,10300.2646484375,16602.50331115723,0.0
2025-04-10 03:24:57-05:00,7849.98095703125,0.0,5067.8955078125,194.297760009766,0.289073467254639,10416.7265625,16506.503936767578,0.0
2025-04-10 03:29:57-05:00,7812.9521484375,0.0,5066.84130859375,124.74666595459,0.273396044969559,10381.3037109375,16684.16802978516,0.0
2025-04-10 03:34:57-05:00,7777.6416015625,0.0,5065.14599609375,88.2400360107422,0.284237861633301,10410.466796875,16396.2742767334,0.0
2025-04-10 03:39:57-05:00,7706.068359375,0.0,5065.38623046875,67.011604309082,0.287223517894745,10418.0693359375,16482.207260131836,0.0
2025-04-10 03:44:57-05:00,7657.42333984375,0.0,5069.67724609375,31.1067142486572,0.273184388875961,10416.4091796875,16373.720901489269,0.0
2025-04-10 03:49:57-05:00,7572.5126953125,0.0,5066.37646484375,37.496898651123,0.276012182235718,10441.5205078125,16237.440658569338,0.0
2025-04-10 03:54:57-05:00,7613.671875,0.0,5066.24609375,62.2319107055664,0.279756754636765,10470.162109375,16204.00088500977,0.0
2025-04-10 03:59:57-05:00,7592.50048828125,0.0,5066.91357421875,80.1813583374023,0.275163322687149,10592.193359375,16317.45066833496,0.0
2025-04-10 04:04:57-05:00,7505.9296875,0.0,5064.41845703125,93.678596496582,0.273432374000549,10569.9609375,16282.877822875978,0.0
2025-04-10 04:09:57-05:00,7495.2021484375,0.0,5068.68798828125,133.421096801758,0.284312158823013,10614.8671875,16349.621276855463,0.0
2025-04-10 04:14:57-05:00,7595.8408203125,0.0,5066.67578125,63.7679977416992,0.277286499738693,10629.3251953125,16354.371414184576,0.0
2025-04-10 04:19:57-05:00,7475.2666015625,0.0,5066.6533203125,67.1929016113281,0.292451053857803,10695.3603515625,16257.237380981445,0.0
2025-04-10 04:24:57-05:00,7439.13720703125,0.0,5065.978515625,108.278205871582,0.283219993114471,10710.123046875,16282.386383056637,0.0
2025-04-10 04:29:57-05:00,7487.6806640625,0.0,5068.208984375,199.687225341797,0.275780469179153,10665.6640625,16388.711318969723,0.0
2025-04-10 04:34:57-05:00,7532.48828125,0.0,5067.17724609375,139.269195556641,0.284133732318878,10557.5673828125,16297.14451599121,0.0
2025-04-10 04:39:57-05:00,7625.7333984375,0.0,5066.205078125,69.5061492919922,0.293782949447632,10496.1318359375,16239.338882446287,0.0
2025-04-10 04:44:57-05:00,7626.14453125,0.0,5064.755859375,87.299919128418,0.309481173753738,10525.150390625,16446.73315429687,0.0
2025-04-10 04:49:57-05:00,7621.54833984375,0.0,5066.80615234375,30.8114433288574,0.278288543224335,10549.7490234375,16391.782653808586,0.0
2025-04-10 04:54:57-05:00,7617.7314453125,0.0,5066.3701171875,8.97227001190186,0.287077724933624,10586.265625,16471.734680175785,0.0
2025-04-10 04:59:57-05:00,7616.62841796875,0.0,5068.0771484375,28.2456130981445,0.294886976480484,10611.349609375,16559.84985351563,0.0
2025-04-10 05:04:57-05:00,7612.4501953125,0.0,5065.556640625,149.761627197266,0.290288358926773,10592.8701171875,16465.65577697754,0.0
2025-04-10 05:09:57-05:00,7694.0302734375,0.0,5066.96435546875,123.401496887207,0.293358623981476,10569.6416015625,16575.6964263916,0.0
2025-04-10 05:14:57-05:00,7781.19921875,0.0,5066.43408203125,115.994110107422,0.282498955726624,10661.587890625,16816.300354003914,0.0
2025-04-10 05:19:57-05:00,7821.08740234375,0.0,5065.0234375,146.568862915039,0.277976840734482,10545.19921875,16848.664276123047,0.0
