SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
12/01/2010 01:10:23,N,DUP_PUN3,21.69
12/01/2010 01:10:23,N,DUP_PUN4,21.69
12/01/2010 01:10:23,N,ELB_ELBCREEK,23.16
12/01/2010 01:10:23,N,EMSES_UNIT1,21.63
12/01/2010 01:10:23,N,EMSES_UNIT2,21.63
12/01/2010 01:10:23,N,EMSES_UNIT3,21.63
12/01/2010 01:10:23,N,ENAS_ENA1,14.31
12/01/2010 01:10:23,N,ETCCS_CC1,21.64
12/01/2010 01:10:23,N,ETCCS_CCU,21.64
12/01/2010 01:10:23,N,EXN_14,21.67
12/01/2010 01:10:23,N,EXN_1_3,21.67
12/01/2010 01:10:23,N,EXN_4,21.67
12/01/2010 01:10:23,N,EXN_8,21.67
12/01/2010 01:10:23,N,EXN_9_13,21.67
12/01/2010 01:10:23,N,EXN_PUN1,21.67
12/01/2010 01:10:23,N,EXN_PUN2,21.67
12/01/2010 01:10:23,N,EXN_PUN3,21.67
12/01/2010 01:10:23,N,FAL_FALCONG1,21.72
12/01/2010 01:10:23,N,FAL_FALCONG2,21.72
12/01/2010 01:10:23,N,FAL_FALCONG3,21.72
12/01/2010 01:10:23,N,FER_FERGUSG1,21.68
12/01/2010 01:10:23,N,FLCNS_CC1,21.97
12/01/2010 01:10:23,N,FLCNS_UNIT1,25.08
12/01/2010 01:10:23,N,FLCNS_UNIT2,25.08
12/01/2010 01:10:23,N,FLCNS_UNIT3,25.08
12/01/2010 01:10:23,N,FLTCK_SSI,21.43
12/01/2010 01:10:23,N,FORMOSA_CC1,21.69
12/01/2010 01:10:23,N,FORMOSA_PUN1,21.69
12/01/2010 01:10:23,N,FORMOSA_PUN2,21.69
12/01/2010 01:10:23,N,FO_FORMOSG1,21.69
12/01/2010 01:10:23,N,FO_FORMOSG10,21.69
12/01/2010 01:10:23,N,FO_FORMOSG2,21.69
12/01/2010 01:10:23,N,FO_FORMOSG3,21.69
12/01/2010 01:10:23,N,FO_FORMOSG4,21.69
12/01/2010 01:10:23,N,FO_FORMOSG5,21.69
12/01/2010 01:10:23,N,FO_FORMOSG6,21.69
12/01/2010 01:10:23,N,FO_FORMOSG7,21.69
12/01/2010 01:10:23,N,FO_FORMOSG8,21.69
12/01/2010 01:10:23,N,FO_FORMOSG9,21.69
12/01/2010 01:10:23,N,FPPYD_FPP_G1,21.68
12/01/2010 01:10:23,N,FPPYD_FPP_G2,21.68
12/01/2010 01:10:23,N,FPPYD_FPP_G3,21.68
12/01/2010 01:10:23,N,FREC_1_CCU,21.65
12/01/2010 01:10:23,N,FREC_2_CCU,21.65
